summer_participation,summer_gold,summer_silver,summer_bronze,winter_ participation,winter_gold,winter_silver,winter_bronze
22.0,39,24,28,17.0,0,0,0
15.0,2,3,2,0.0,0,0,0
6.0,35,30,56,7.0,3,1,4
9.0,1,0,1,0.0,0,0,0
27.0,"1,022",795,705,23.0,105,110,90
21.0,2,2,6,1.0,0,0,0
6.0,8,6,17,7.0,1,0,0
18.0,2,3,10,4.0,0,0,0
15.0,1,3,0,0.0,0,0,0
12.0,0,1,0,7.0,0,0,0
18.0,28,31,31,16.0,0,3,1
13.0,0,1,1,0.0,0,0,0
13.0,3,4,1,1.0,0,0,0
1.0,45,38,29,1.0,9,6,8
3.0,1,0,1,0.0,0,0,0
1.0,0,1,2,0.0,0,0,0
0.0,0,0,0,1.0,2,6,9
3.0,8,5,4,0.0,0,0,0
