summer_participation,summer_gold,summer_silver,summer_bronze,winter_ participation,winter_gold,winter_silver,winter_bronze,points per participation for summer games,points per participation for winter games,Color,Continent
16.0,1,2,2,1.0,0,0,0,0.8125,0.0,white,Asia
6.0,9,12,7,7.0,3,4,1,14.666666666666666,4.0,green,Europe
7.0,5,8,10,8.0,2,5,10,8.428571428571429,4.375,green,Europe
19.0,26,31,29,7.0,0,0,0,13.263157894736842,0.0,black,Africa
23.0,45,64,41,20.0,1,0,3,19.91304347826087,0.4,green,Europe
17.0,0,2,0,0.0,0,0,0,0.35294117647058826,0.0,white,Asia
12.0,0,1,0,0.0,0,0,0,0.25,0.0,black,Africa
12.0,1,0,1,0.0,0,0,0,0.5,0.0,brown,South America
27.0,145,170,179,23.0,57,46,55,52.370370370370374,20.782608695652176,green,Europe
28.0,50,75,67,23.0,55,46,52,19.357142857142858,20.217391304347824,green,Europe
13.0,1,1,1,0.0,0,0,0,0.6923076923076923,0.0,white,Asia
14.0,5,7,12,12.0,0,0,0,4.142857142857143,0.0,gray,Unknown
6.0,1,1,2,4.0,0,0,0,1.6666666666666667,0.0,white,Asia
13.0,0,2,0,0.0,0,0,0,0.46153846153846156,0.0,black,Africa
16.0,9,8,16,4.0,0,0,0,5.3125,0.0,white,Asia
10.0,0,0,1,2.0,0,0,0,0.1,0.0,black,Africa
9.0,0,1,0,2.0,0,0,0,0.3333333333333333,0.0,purple,Oceania
17.0,2,6,11,3.0,0,0,0,2.2941176470588234,0.0,yellow,North America
14.0,4,2,7,0.0,0,0,0,2.357142857142857,0.0,black,Africa
22.0,39,24,28,17.0,0,0,0,13.409090909090908,0.0,white,Asia
15.0,2,3,2,0.0,0,0,0,1.4,0.0,black,Africa
6.0,35,30,56,7.0,3,1,4,53.5,3.142857142857143,green,Europe
9.0,1,0,1,0.0,0,0,0,0.6666666666666666,0.0,white,Asia
27.0,1022,795,705,23.0,105,110,90,303.7037037037037,41.08695652173913,gray,Unknown
21.0,2,2,6,1.0,0,0,0,1.0476190476190477,0.0,brown,South America
6.0,8,6,17,7.0,1,0,0,12.5,0.7142857142857143,white,Asia
18.0,2,3,10,4.0,0,0,0,1.6111111111111112,0.0,brown,South America
15.0,1,3,0,0.0,0,0,0,0.9333333333333333,0.0,white,Asia
12.0,0,1,0,7.0,0,0,0,0.25,0.0,gray,Unknown
18.0,28,31,31,16.0,0,3,1,14.666666666666666,0.625,gray,Unknown
13.0,0,1,1,0.0,0,0,0,0.3076923076923077,0.0,black,Africa
13.0,3,4,1,1.0,0,0,0,2.1538461538461537,0.0,black,Africa
1.0,45,38,29,1.0,9,6,8,368.0,71.0,gray,Unknown
3.0,1,0,1,0.0,0,0,0,2.0,0.0,gray,Unknown
1.0,0,1,2,0.0,0,0,0,5.0,0.0,gray,Unknown
0.0,0,0,0,1.0,2,6,9,0.0,37.0,gray,Unknown
3.0,8,5,4,0.0,0,0,0,19.666666666666668,0.0,gray,Unknown
